Train_Beta,Test_Beta,AUC,Accuracy

0.8,0.8,0.9818,0.9448
0.8,0.9,0.9732,0.9305
0.8,1.0,0.9679,0.9168
0.8,1.1,0.9536,0.8923
0.8,1.2,0.9382,0.8768
0.8,1.3,0.9227,0.8446
0.8,1.4,0.9034,0.7984
0.8,1.5,0.8812,0.7679
0.9,0.8,0.9845,0.9502
0.9,0.9,0.9849,0.9532
0.9,1.0,0.9816,0.9394
0.9,1.1,0.9740,0.9145
0.9,1.2,0.9618,0.8815
0.9,1.3,0.9509,0.8465
0.9,1.4,0.9341,0.7787
0.9,1.5,0.9166,0.7425
1.0,0.8,0.9722,0.9324
1.0,0.9,0.9766,0.9315
1.0,1.0,0.9808,0.9424
1.0,1.1,0.9790,0.9398
1.0,1.2,0.9735,0.9313
1.0,1.3,0.9659,0.9145
1.0,1.4,0.9573,0.8840
1.0,1.5,0.9464,0.8582
1.1,0.8,0.9771,0.9224
1.1,0.9,0.9790,0.9355
1.1,1.0,0.9820,0.9356
1.1,1.1,0.9791,0.9290
1.1,1.2,0.9727,0.9250
1.1,1.3,0.9654,0.9141
1.1,1.4,0.9562,0.8836
1.1,1.5,0.9486,0.8518
1.2,0.8,0.9702,0.9287
1.2,0.9,0.9728,0.9321
1.2,1.0,0.9765,0.9367
1.2,1.1,0.9773,0.9364
1.2,1.2,0.9748,0.9342
1.2,1.3,0.9715,0.9301
1.2,1.4,0.9643,0.9077
1.2,1.5,0.9586,0.8995
1.3,0.8,0.9640,0.9184
1.3,0.9,0.9708,0.9288
1.3,1.0,0.9759,0.9357
1.3,1.1,0.9753,0.9338
1.3,1.2,0.9746,0.9345
1.3,1.3,0.9704,0.9263
1.3,1.4,0.9644,0.9210
1.3,1.5,0.9617,0.9150
1.4,0.8,0.9615,0.8359
1.4,0.9,0.9687,0.9001
1.4,1.0,0.9736,0.8999
1.4,1.1,0.9718,0.9067
1.4,1.2,0.9722,0.9089
1.4,1.3,0.9721,0.9085
1.4,1.4,0.9679,0.8990
1.4,1.5,0.9619,0.8921
1.5,0.8,0.9533,0.8766
1.5,0.9,0.9637,0.9165
1.5,1.0,0.9698,0.9199
1.5,1.1,0.9708,0.9231
1.5,1.2,0.9725,0.9278
1.5,1.3,0.9723,0.9291
1.5,1.4,0.9695,0.9208
1.5,1.5,0.9702,0.9213
Unknown,1.5,0.7042,0.5383
Unknown,1.5,0.7486,0.5845
Unknown,1.5,0.5041,0.6547
